k,BubbleSort partiel,BuildHeap / Remove,HeapSort
1006,8125531,19526,124199
1007,8132222,19538,124199
1008,8138912,19550,124199
1009,8145601,19562,124199
1010,8152286,19574,124199
1011,8158969,19586,124199
1012,8165652,19598,124199
1013,8172334,19610,124199
1014,8179016,19622,124199
1015,8185696,19635,124199
1016,8192373,19647,124199
1017,8199049,19658,124199
1018,8205722,19670,124199
1019,8212394,19682,124199
1020,8219065,19694,124199
1021,8225732,19705,124199
1022,8232398,19717,124199
1023,8239062,19728,124199
1024,8245725,19741,124199
1025,8252387,19754,124199
1026,8259046,19766,124199
1027,8265697,19777,124199
1028,8272347,19789,124199
1029,8278997,19801,124199
1030,8285647,19814,124199
1031,8292295,19826,124199
1032,8298938,19836,124199
1033,8305578,19847,124199
1034,8312215,19858,124199
1035,8318848,19871,124199
1036,8325480,19883,124199
1037,8332111,19894,124199
1038,8338740,19906,124199
1039,8345366,19918,124199
1040,8351990,19929,124199
1041,8358612,19941,124199
1042,8365232,19953,124199
1043,8371851,19965,124199
1044,8378467,19977,124199
1045,8385082,19989,124199
1046,8391696,20001,124199
1047,8398307,20013,124199
1048,8404916,20025,124199
1049,8411523,20037,124199
1050,8418130,20049,124199
1051,8424735,20060,124199
1052,8431335,20072,124199
1053,8437932,20084,124199
1054,8444527,20095,124199
1055,8451118,20107,124199
1056,8457707,20119,124199
1057,8464294,20131,124199
1058,8470878,20144,124199
1059,8477459,20156,124199
1060,8484037,20168,124199
1061,8490613,20180,124199
1062,8497186,20192,124199
1063,8503758,20203,124199
1064,8510328,20215,124199
1065,8516894,20227,124199
1066,8523455,20239,124199
1067,8530012,20251,124199
1068,8536567,20263,124199
1069,8543121,20274,124199
1070,8549674,20286,124199
1071,8556226,20298,124199
1072,8562776,20310,124199
1073,8569322,20322,124199
1074,8575864,20333,124199
1075,8582403,20345,124199
1076,8588936,20356,124199
1077,8595466,20368,124199
1078,8601993,20380,124199
1079,8608518,20392,124199
1080,8615040,20404,124199
1081,8621557,20416,124199
1082,8628069,20428,124199
1083,8634580,20440,124199
1084,8641085,20452,124199
1085,8647589,20464,124199
1086,8654091,20477,124199
1087,8660591,20489,124199
1088,8667087,20501,124199
1089,8673580,20513,124199
1090,8680073,20525,124199
1091,8686562,20537,124199
1092,8693048,20549,124199
1093,8699531,20561,124199
1094,8706013,20572,124199
1095,8712495,20584,124199
1096,8718975,20595,124199
1097,8725452,20607,124199
1098,8731928,20619,124199
1099,8738399,20630,124199
1100,8744870,20641,124199
1101,8751339,20653,124199
1102,8757807,20665,124199
1103,8764273,20677,124199
1104,8770732,20689,124199
1105,8777189,20701,124199
1106,8783644,20713,124199
1107,8790098,20725,124199
1108,8796551,20737,124199
1109,8803002,20750,124199
1110,8809451,20761,124199
1111,8815900,20773,124199
1112,8822348,20785,124199
1113,8828793,20797,124199
1114,8835236,20809,124199
1115,8841677,20820,124199
1116,8848113,20832,124199
1117,8854548,20845,124199
1118,8860979,20857,124199
1119,8867407,20869,124199
1120,8873832,20882,124199
1121,8880254,20894,124199
1122,8886675,20906,124199
1123,8893095,20919,124199
1124,8899512,20931,124199
1125,8905925,20942,124199
1126,8912335,20954,124199
1127,8918742,20966,124199
1128,8925145,20978,124199
1129,8931544,20990,124199
1130,8937942,21002,124199
1131,8944336,21014,124199
1132,8950727,21026,124199
1133,8957116,21038,124199
1134,8963502,21050,124199
1135,8969888,21062,124199
1136,8976273,21074,124199
1137,8982655,21086,124199
1138,8989036,21099,124199
1139,8995413,21112,124199
1140,9001789,21124,124199
1141,9008163,21136,124199
1142,9014533,21148,124199
1143,9020902,21160,124199
1144,9027269,21171,124199
1145,9033632,21183,124199
1146,9039994,21195,124199
